Kecamatan,Node_Awal,Node_Akhir,Nama_Ruas,Cost,Kondisi
semarang tengah,L3,L7,Jl. Bedagan,404.0,Baik
semarang tengah,L3,L4,Jl. Seteran Serut,310.0,Baik
semarang tengah,L4,L8,Jl. Mayjend. Sutoyo Siswomiharjo,1551.0,Baik
semarang tengah,L4,L9,Jl. Moch. Suyudi,462.0,Baik
semarang tengah,L5,L9,Jl. Depok,463.0,Baik
semarang tengah,L6,L10,Jl. Seteran Barat,281.0,Baik
semarang tengah,L6,L11,Jl. Kapten Piere Tendean,487.0,Baik
semarang tengah,L7,L11,Jl. MH. Thamrin,1090.0,Baik
semarang tengah,L7,L8,Jl. Sadewa 3,46.0,Baik
semarang tengah,L8,L11,Jl. Gendingan,289.0,Baik
semarang tengah,L8,L12,Jl. Tanjung,476.0,Baik
semarang tengah,L8,L9,Jl. Indraprasta,1092.0,Baik
semarang tengah,L8,L13,Jl. Bima,709.0,Baik
semarang tengah,L9,L13,Jl. Imam Bonjol,2387.0,Baik
semarang tengah,L10,L15,Jl. Arjuna,515.0,Baik
semarang tengah,L10,L11,Jl. Yudistira,270.0,Baik
semarang tengah,L10,L16,Jl. Pandanaran 1,306.0,Baik
semarang tengah,L11,L16,Jl. Saidan,226.0,Sedang
semarang tengah,L11,L17,Jl. Ade Irma Suryani Nasution,530.0,Sedang
semarang tengah,L11,L12,Jl. Simpang,246.0,Baik
semarang tengah,L12,L17,Jl. Inspeksi Kali Semarang,7253.0,Sedang
semarang tengah,L12,L14,Jl. K.H.A. Dahlan,705.0,Baik
semarang tengah,L13,L14,Jl. Wot Gandul Dalam,325.0,Baik
semarang tengah,L14,L18,Jl. Gang Gambiran,315.0,Baik
semarang tengah,L15,L16,Jl. Gang Belakang,337.0,Sedang
semarang tengah,L15,L19,Jl. Seroja Timur,599.0,Baik
semarang tengah,L15,L20,Jl. Wot Gandul Timur,407.0,Sedang
semarang tengah,L16,L17,Jl. Kemuning,265.0,Baik
semarang tengah,L16,L20,Jl. Taman Seteran Baru,366.0,Baik
semarang tengah,L17,L20,Jl. Melati Selatan,226.0,Baik
semarang tengah,L17,L20,Jl. Karangwulan,235.0,Baik
semarang tengah,L17,L21,Jl. Sebandaran,140.0,Sedang
semarang tengah,L18,L21,Jl. Seroja 1,235.0,Baik
semarang tengah,L18,L22,Jl. Petolongan,326.0,Baik
semarang tengah,L19,L20,Jl. Kepodang,328.0,Sedang
semarang tengah,L19,L23,Jl. K.H. Agus Salim,904.0,Sedang
semarang tengah,L20,L23,Jl. Pekojan,425.0,Baik
semarang tengah,L20,L21,Jl. Ki Mangunsarkoro,1812.0,Baik
semarang tengah,L21,L23,Jl. Gang Warung,361.0,Baik
semarang tengah,L21,L24,Jl. K.H. Wahid Hasyim,531.0,Baik
semarang tengah,L21,L25,Jl. Gang Pinggir,480.0,Sedang
semarang tengah,L21,L22,Jl. Cenderawasih,463.0,Baik
semarang tengah,L22,L25,Jl. Jagalan Barat,219.0,Sedang
semarang tengah,L23,L24,Jl. Brumbungan,563.0,Baik
semarang tengah,L24,L25,Jl. Anggrek,339.0,Baik
semarang tengah,L19,L26,Jl. Beteng,407.0,Baik
semarang tengah,L23,L26,Jl. Gang Tengah,366.0,Sedang
semarang tengah,L23,L27,Jl. Gang Baru,423.0,Baik
semarang tengah,L23,L28,Jl. Karanganyar,622.0,Baik
semarang tengah,L24,L28,Jl. Pringgading,286.0,Baik
semarang tengah,L24,L29,Jl. Jagalan Timur,282.0,Sedang
semarang tengah,L25,L29,Jl. Karangsaru,276.0,Sedang
semarang tengah,L25,L30,Jl. Stadion Selatan,283.0,Baik
semarang tengah,L26,L31,Jl. Stadion Utara,269.0,Baik
semarang tengah,L26,L27,Jl. Kauman,403.0,Baik
semarang tengah,L27,L31,Jl. Pedamaran,398.0,Sedang
semarang tengah,L27,L32,Jl. Kenari,228.0,Sedang
semarang tengah,L27,L28,Jl. Gelatik,96.0,Baik
semarang tengah,L28,L32,Jl. Dahlia Selatan,78.0,Baik
semarang tengah,L28,L29,Jl. Dahlia Utara,79.0,Baik
semarang tengah,L29,L32,Jl. Melati Utara,221.0,Baik
semarang tengah,L29,L30,Jl. Pasar Baru,76.0,Baik
semarang tengah,L30,L33,Jl. Plampitan,360.0,Sedang
semarang tengah,L31,L34,Jl. Stadion Barat,305.0,Rusak Ringan
semarang tengah,L31,L32,Jl. Kanjengan,364.0,Rusak Ringan
semarang tengah,L32,L35,Jl. Petudungan,320.0,Baik
semarang tengah,L32,L33,Jl. Stadion Timur,262.0,Baik
semarang tengah,L32,L36,Jl. Seteran Dalam,103.0,Baik
semarang tengah,L33,L36,Jl. Gang Besen,399.0,Baik
semarang tengah,L33,L35,Jl. Gang Mangkok,82.0,Baik
semarang tengah,L34,L35,Jl. Letjen Suprapto,670.0,Baik
semarang tengah,L35,L36,Jl. Mayjend. D.I. Panjaitan,1549.0,Baik
semarang tengah,L34,L37,Jl. Seroja Dalam,346.0,Baik
semarang tengah,L34,L38,Jl. Seroja Selatan,568.0,Baik
semarang tengah,L34,L39,Jl. Beringin,199.0,Baik
semarang tengah,L35,L38,Jl. Batan Selatan,384.0,Baik
semarang tengah,L35,L39,Jl. Pekunden Tengah,388.0,Baik
semarang tengah,L35,L40,Jl. Alun-Alun Barat,217.0,Sedang
semarang tengah,L36,L40,Jl. Kol. Sugiyono,632.0,Baik
semarang tengah,L37,L40,Jl. Pemuda,2756.0,Baik
semarang timur,M1,M2,Jl. M.T. Haryono,3495.0,Baik
semarang timur,M2,M3,Jl. Halmahera,582.0,Baik
semarang timur,M2,M4,Jl. Maluku,497.0,Baik
semarang timur,M2,M5,Jl. Panca Karya,623.0,Baik
semarang timur,M2,M3,Jl. Tirtyoso Tengah,538.0,Sedang
semarang timur,M3,M6,Jl. Mlaten Trenggulun,601.0,Baik
semarang timur,M3,M4,Jl. Sedompyong,1250.0,Sedang
semarang timur,M3,M7,Jl. Ligu Tengah,374.0,Sedang
semarang timur,M4,M8,Jl. Senjoyo,507.0,Sedang
semarang timur,M4,M9,Jl. Progo 5,252.0,Sedang
semarang timur,M5,M6,Jl. Progo 1,142.0,Sedang
semarang timur,M5,M10,Jl. Mlatiharjo,354.0,Baik
semarang timur,M6,M11,Jl. Dargo,408.0,Sedang
semarang timur,M7,M11,Jl. Citandui Selatan,547.0,Sedang
semarang timur,M7,M8,Jl. Bugangan,592.0,Baik
semarang timur,M7,M12,Jl. Barito,4150.0,Baik
semarang timur,M8,M13,Jl. Citarum,1312.0,Baik
semarang timur,M8,M9,Jl. Tirpo Purwosari,516.0,Baik
semarang timur,M9,M14,Jl. Sidodadi Barat,291.0,Sedang
semarang timur,M10,M15,Jl. Manisharjo,231.0,Sedang
semarang timur,M10,M11,Jl. Rejomulyo Barat,255.0,Sedang
semarang timur,M11,M12,Jl. Sidorejo,444.0,Baik
semarang timur,M12,M13,Jl. Sidodadi Timur,279.0,Sedang
semarang timur,M13,M16,Jl. Karimata,530.0,Baik
semarang timur,M11,M15,Jl. Purwosari,1092.0,Baik
semarang timur,M12,M15,Jl. Musi,360.0,Sedang
semarang timur,M15,M17,Jl. Taman Progo,79.0,Baik
semarang timur,M15,M16,Jl. Pondok Pati,243.0,Sedang
semarang timur,M12,M16,Jl. Pattimura,321.0,Sedang
semarang timur,M10,M17,Jl. Citandui 3,230.0,Sedang
semarang timur,M15,M17,Jl. Citandui,536.0,Baik
semarang timur,M15,M18,Jl. Rejo Leksono 1,240.0,Sedang
semarang timur,M17,M18,Jl. Indragiri,1703.0,Sedang
semarang timur,M16,M19,Jl. Hawa,495.0,Baik
semarang timur,M18,M19,Jl. Krakatau,467.0,Baik
semarang timur,M15,M19,Jl. Labuan,468.0,Sedang
semarang timur,M3,M8,Jl. Cilosari,1083.0,Sedang
semarang timur,M19,M20,Jl. Raden Patah,237.0,Baik
semarang timur,M18,M20,Jl. Kartini,1863.0,Baik
semarang timur,M20 ,M21,Jl. Citandui 4,151.0,Sedang
semarang timur,M19,M21,Jl. Bugangan Regol,376.0,Sedang
semarang utara,N1,N2,Jl. Tanjungmas,1622.0,Baik
semarang utara,N2,N3,Jl. Dorang,610.0,Sedang
semarang utara,N2,N4,Jl. Kakap,846.0,Sedang
semarang utara,N2,N5,Jl. Lodan,2084.0,Rusak Ringan
semarang utara,N2,N6,Jl. Mujahir,206.0,Sedang
semarang utara,N2,N3,Jl. Brotojoyo Utara,1029.0,Rusak Ringan
semarang utara,N3,N7,Jl. Taman Hasanudin,593.0,Sedang
semarang utara,N3,N4,Jl. Brotojoyo,1099.0,Baik
semarang utara,N4,N8,Jl. Kalimas Barat,619.0,Baik
semarang utara,N4,N5,Jl. Telaga Mas,301.0,Sedang
semarang utara,N5,N9,Jl. Peres,501.0,Baik
semarang utara,N5,N10,Jl. Selo Mas,356.0,Sedang
semarang utara,N6,N11,Jl. Sumber Mas,541.0,Sedang
semarang utara,N6,N7,Jl. Tanggul Mas,481.0,Sedang
semarang utara,N7,N12,Jl. Muara Mas,623.0,Sedang
semarang utara,N7,N8,Jl. Brotojoyo 5,282.0,Baik
semarang utara,N8,N13,Jl. Kuala Mas,597.0,Baik
semarang utara,N8,N9,Jl. Brotojoyo 2,1046.0,Sedang
semarang utara,N9,N14,Jl. Gondomono,555.0,Baik
semarang utara,N9,N10,Jl. Petek,791.0,Baik
semarang utara,N10,N15,Jl. Cumi-Cumi,801.0,Sedang
semarang utara,N10,N21,Jl. Hassanudin,2027.0,Baik
semarang utara,N21,N22,Jl. Yos Sudarso Kalibaru Barat,1171.0,Sedang
semarang utara,N21,N24,Jl. Pasir Mas,628.0,Sedang
semarang utara,N11,N16,Jl. Tambra,292.0,Baik
semarang utara,N11,N12,Jl. Tambak Mas,369.0,Sedang
semarang utara,N12,N17,Jl. Patriot,319.0,Baik
semarang utara,N12,N13,Jl. Hassanudin Rusunawa,526.0,Rusak Ringan
semarang utara,N13,N18,Jl. Satria Utara,463.0,Baik
semarang utara,N13,N14,Jl. Brotojoyo Timur,165.0,Sedang
semarang utara,N14,N19,Jl. Empu Tantular,1347.0,Baik
semarang utara,N14,N15,Jl. Tawang 1,547.0,Baik
semarang utara,N15,N20,Jl. Bandarharjo,444.0,Sedang
semarang utara,N15,N22,Jl. Tambakrejo Makam,1421.0,Rusak Ringan
semarang utara,N22,N23,Jl. Branjangan,271.0,Baik
semarang utara,N22,N25,Jl. Taman Garuda,203.0,Baik
semarang utara,N24,N25,Jl. Kedasih,279.0,Sedang
semarang utara,N16,N27,Jl. Kapten Wiratno,880.0,Sedang
semarang utara,N16,N17,Jl. Ronggowarsito 2,350.0,Sedang
semarang utara,N17,N28,Jl. Kebonharjo,111.0,Baik
semarang utara,N17,N18,Jl. Kuala Mas 2,99.0,Sedang
semarang utara,N18,N29,Jl. Tambakrejo Tanggul,1453.0,Rusak Berat
semarang utara,N18,N19,Jl. Ronggowarsito,1664.0,Baik
semarang utara,N19,N30,Jl. Sleko,694.0,Sedang
semarang utara,N19,N20,Jl. Tambakmulyo Tanjungmas,859.0,Baik
semarang utara,N20,N31,Jl. Sendowo Barat,219.0,Sedang
semarang utara,N20,N23,Jl. Nuri,148.0,Sedang
semarang utara,N23,N32,Jl. Sendowo Timur,311.0,Baik
semarang utara,N23,N26,Jl. Garuda,158.0,Baik
semarang utara,N25,N26,Jl. Poncol,133.0,Sedang
semarang utara,N27,N34,Jl. Merak,580.0,Sedang
semarang utara,N27,N28,Jl. Boom Lama Tanggul 2,1101.0,Sedang
semarang utara,N28,N35,Jl. Boom Lama,973.0,Baik
semarang utara,N28,N29,Jl. Kali Baru,852.0,Baik
semarang utara,N29,N36,Jl. Layur,430.0,Sedang
semarang utara,N29,N30,Jl. Layur 1,202.0,Rusak Ringan
tembalang,O1,O2,Jl. Kedungmundu,3.878,Baik
tembalang,O2,O3,Jl. Rejosari,709.0,Baik
tembalang,O2,O4,Jl. Nilam,256.0,Sedang
tembalang,O2,O5,Jl. Sambiroto 4,606.0,Baik
tembalang,O2,O6,Jl. Kompol R. Soekanto,4052.0,Sedang
tembalang,O2,O3,"Jl. Kol. H. Iman Soeparto Tjakrajoeda, SH",4208.0,Baik
tembalang,O3,O7,Jl. Bukit Cemara Mustika,246.0,Sedang
tembalang,O3,O4,Jl. Elang,1496.0,Baik
tembalang,O4,O8,Jl. Sambiroto 7,233.0,Sedang
tembalang,O4,O5,Jl. Karanggawang,1069.0,Baik
tembalang,O5,O9,Jl. Mangunharjo 1,1811.0,Sedang
tembalang,O5,O10,Jl. Sambiroto 3,601.0,Sedang
tembalang,O6,O11,Jl. Mulawarman Barat 2,472.0,Sedang
tembalang,O6,O7,Jl. Salak,316.0,Baik
tembalang,O7,O12,Jl. Sendangguwo Selatan 9,500.0,Baik
tembalang,O7,O8,Jl. Sambiroto Asri Barat,986.0,Sedang
tembalang,O8,O13,Jl. Gondang,119.0,Sedang
tembalang,O8,O9,Jl. Sipodang,358.0,Baik
tembalang,O9,O14,Jl. Timoho 1,387.0,Baik
tembalang,O9,O10,Jl. Tembalang Baru,304.0,Sedang
tembalang,O10,O15,Jl. Gerung Sari 1,236.0,Baik
tembalang,O10,O21,Jl. Perum Diponegoro,973.0,Sedang
tembalang,O21,O22,Jl. Tamtama Timur Dalam,318.0,Baik
tembalang,O21,O24,Jl. Jangli Gabeng,1563.0,Sedang
tembalang,O11,O16,Jl. Salak 1,337.0,Baik
tembalang,O11,O12,Jl. Sawi 9,294.0,Baik
tembalang,O12,O17,Jl. K.H. Sirajudin,431.0,Baik
tembalang,O12,O13,Jl. Mulawarman 5,266.0,Sedang
tembalang,O13,O18,Jl. Banyuputih,1076.0,Baik
tembalang,O13,O14,Jl. Rogojembangan,629.0,Sedang
tembalang,O14,O19,Jl. Saputan,644.0,Sedang
tembalang,O14,O15,Jl. Gayam Sari Selatan,447.0,Baik
tembalang,O15,O20,Jl. Sendangguwo Selatan,696.0,Baik
tembalang,O15,O22,Jl. Lobak 2,253.0,Sedang
tembalang,O22,O23,Jl. Lembayung,276.0,Baik
tembalang,O22,O25,Jl. Sawi,518.0,Baik
tembalang,O24,O25,Jl. Bukit Cemara Mustika 6,185.0,Baik
tembalang,O16,O27,Jl. Timoho Barat 3,174.0,Sedang
tembalang,O16,O17,Jl. Ngemplak,222.0,Sedang
tembalang,O17,O28,Jl. Karanggawang Barat,604.0,Baik
tembalang,O17,O18,Jl. Banteng,1243.0,Sedang
tembalang,O18,O29,Jl. Jangli Gabeng 3,371.0,Baik
tembalang,O18,O19,Jl. Sambiroto 5,451.0,Sedang
tembalang,O19,O30,Jl. Tembalang Baru 4,362.0,Baik
tembalang,O19,O20,Jl. Genting 2,549.0,Baik
tembalang,O20,O31,Jl. Genting 1,601.0,Sedang
tembalang,O20,O23,Jl. Rowo Tengah,407.0,Baik
tembalang,O23,O32,Jl. Tampirejo 2,410.0,Baik
tembalang,O23,O26,Jl. Kedung Winong,827.0,Baik
tembalang,O25,O26,Jl. Sinar Mulyo,278.0,Sedang
tembalang,O27,O34,Jl. Elangsari Timur,761.0,Baik
tembalang,O27,O28,Jl. Elangsari,276.0,Sedang
tembalang,O28,O35,Jl. Berlian,385.0,Baik
tembalang,O28,O29,Jl. Bulusan Utara,477.0,Sedang
tembalang,O29,O36,Jl. Banteng 3,683.0,Baik
tembalang,O29,O30,Jl. Timoho Timur 4,119.0,Sedang
tembalang,O30,O37,Jl. Banjarsari Barat,621.0,Sedang
tembalang,O30,O31,Jl. Bayem,243.0,Baik
tembalang,O31,O38,Jl. Prof. Suharso,277.0,Baik
tembalang,O31,O32,Jl. Klipang Timur,1319.0,Baik
tembalang,O32,O39,Jl. Bukit Kelapa Sawit 8,380.0,Baik
tembalang,O32,O33,Jl. Kampung Dadapan,931.0,Baik
tembalang,O26,O33,Jl. Bukit Bougenvile,129.0,Sedang
tembalang,O34,O41,Jl. Sinar Waluyo,678.0,Baik
tembalang,O34,O35,Jl. Sinar Mukti,270.0,Sedang
tembalang,O35,O42,Jl. Tulus,918.0,Baik
tembalang,O35,O36,Jl. Ketileng Indah 1,426.0,Baik
tembalang,O36,O43,Jl. Ketileng Indah Blok M,237.0,Baik
tembalang,O36,O37,Jl. Ketileng Puspita,238.0,Baik
tembalang,O37,O44,Jl. Ketileng Kencana,286.0,Baik
tembalang,O37,O38,Jl. Ketileng Indah Blok N,177.0,Baik
tembalang,O38,O45,Jl. Pengkol,2125.0,Baik
tembalang,O38,O39,Jl. Pengkol 1,349.0,Baik
tembalang,O39,O46,Jl. Sinar Agung,236.0,Sedang
tembalang,O39,O40,Jl. Amposari Barat,274.0,Rusak Ringan
tembalang,O33,O40,Jl. SInar Waluyo Utara,345.0,Baik
tembalang,O41,O48,Jl. Sinar Gemah Timur,367.0,Sedang
tembalang,O48,O49,Jl. Muntuksari,747.0,Sedang
tembalang,O49,O42,Jl. Rowosari,1739.0,Baik
tembalang,O42,O43,Jl. Gemah Sari 8,240.0,Baik
tembalang,O43,O50,Jl. Tunggu,377.0,Baik
tembalang,O50,O51,Jl. Sinar Rembulan,129.0,Sedang
tembalang,O51,O44,Jl. Durenan,779.0,Baik
tembalang,O44,O45,Jl. Rowo Tengah 5,432.0,Sedang
tembalang,O45,O52,Jl. Krajan,774.0,Sedang
tembalang,O45,O46,Jl. Tampirejo 1,370.0,Baik
tembalang,O46,O53,Jl. Afa Permai,704.0,Sedang
tembalang,O46,O47,Jl. Mundu Baru 4,161.0,Sedang
tembalang,O40,O47,Jl. Perum Wana Mukti,672.0,Sedang
tembalang,O48,O55,Jl. Dadapan,1012.0,Sedang
tembalang,O49,O56,Jl. Amposari Tengah,559.0,Sedang
tembalang,O50,O57,Jl. Gemahsari Permai,461.0,Sedang
tembalang,O51,O58,Jl. Gemah Sari 13,103.0,Baik
tembalang,O52,O59,Jl. Gemah Jaya 1,248.0,Sedang
tembalang,O53,O60,Jl. Amposari,516.0,Baik
tembalang,O47,O54,Jl. Gemah Jaya,204.0,Sedang
tembalang,O54,O61,Jl. Klipang Lama,261.0,Baik
tembalang,O60,O61,Jl. Klipang Golf,950.0,Baik
tembalang,O55,O62,Jl. Mundu Baru 3,126.0,Sedang
tembalang,O55,O56,Jl. Sambung,463.0,Baik
tembalang,O56,O63,Jl. Lobak,413.0,Sedang
tembalang,O56,O57,Jl. Mulawarman,14.0,Baik
tembalang,O57,O64,Jl. Pekuncen,856.0,Sedang
tembalang,O57,O58,"Jl. Prof. H. S. Sudharto, SH",2343.0,Baik
tembalang,O58,O65,Jl. Perum Dinar Mas,1463.0,Baik
tembalang,O58,O59,Jl. Ketileng Indah,1278.0,Baik
tembalang,O59,O66,Jl. Klipang,249.0,Baik
tembalang,O59,O60,Jl. Tamtama Timur,313.0,Baik
tembalang,O60,O67,Jl. Gemah Sari,263.0,Sedang
tembalang,O60,O61,Jl. Mundu Baru 7,183.0,Sedang
tembalang,O62,O63,Jl. Kedungsari,720.0,Baik
tembalang,O63,O64,Jl. Tembalang Selatan 7,216.0,Baik
tugu,P1,P2,Jl. Tugurejo,822.0,Baik
tugu,P2,P3,Jl. Karanganyar,751.0,Baik
tugu,P2,P4,Jl. Kauman Randugarut,671.0,Sedang
tugu,P2,P5,Jl. Mekar,781.0,Sedang
tugu,P2,P6,Jl. Kyai Gilang,962.0,Rusak Ringan
tugu,P2,P3,Jl. Kauman Mangkang Wetan,1562.0,Sedang
tugu,P3,P7,Jl. Mangunharjo (Mangkang Wetan),2623.0,Sedang
tugu,P3,P4,Jl. Stasiun Mangkang,253.0,Sedang
tugu,P4,P8,Jl. Pulau Tirang Tapak,2029.0,Sedang
tugu,P4,P5,Jl. Irigasi Utara (Mangkang Kulon),2271.0,Baik
tugu,P5,P9,Jl. Stasiun Jrakah,706.0,Sedang
tugu,P5,P10,Jl. Cisadane,500.0,Rusak Berat
tugu,P6,P11,Jl. Tapak,865.0,Baik
tugu,P4,P5,Jl. Irigasi Utara (Mangkang Kulon),2271.0,Baik
tugu,P5,P9,Jl. Stasiun Jrakah,706.0,Sedang
tugu,P5,P10,Jl. Cisadane,500.0,Rusak Berat
tugu,P6,P11,Jl. Tapak,865.0,Baik
